order_id,date,product_id,product_name,category,units_sold,unit_price,platform_fee_pct,gmv,visit_count,conversion_rate,return_flag,review_score
1000,2024-01-01,PROD001,Fone de Ouvido Bluetooth JBL T510,Audio,4,179.45,0.14,717.8,179,0.0223,0,4.8
1001,2024-01-01,PROD002,Carregador Turbo 65W USB-C,Carregadores,3,85.76,0.14,257.28,109,0.0273,1,2.4
1002,2024-01-01,PROD003,Cabo USB-C para USB-C 2m,Cabos,6,28.91,0.14,173.46,172,0.0347,0,4.9
1003,2024-01-01,PROD004,Suporte Veicular para Celular,Acessórios,3,50.76,0.14,152.28,111,0.0268,0,4.3
1004,2024-01-01,PROD005,Película Vidro Temperado iPhone 15,Proteção,5,25.63,0.14,128.15,132,0.0376,0,4.6
1005,2024-01-02,PROD007,Fone In-Ear Com Fio Samsung AKG,Audio,1,61.46,0.14,61.46,30,0.0325,0,3.9
1006,2024-01-02,PROD008,Cabo Lightning para USB 1m (Apple),Cabos,2,42.9,0.14,85.8,39,0.051,0,4.2
1007,2024-01-03,PROD001,Fone de Ouvido Bluetooth JBL T510,Audio,1,176.08,0.14,176.08,30,0.033,0,4.8
1008,2024-01-03,PROD002,Carregador Turbo 65W USB-C,Carregadores,4,90.51,0.14,362.04,156,0.0256,0,4.2
1009,2024-01-03,PROD003,Cabo USB-C para USB-C 2m,Cabos,6,29.09,0.14,174.54,266,0.0225,1,2.3
1010,2024-01-03,PROD004,Suporte Veicular para Celular,Acessórios,5,46.86,0.14,234.3,103,0.0485,0,4.5
1011,2024-01-03,PROD005,Película Vidro Temperado iPhone 15,Proteção,4,23.34,0.14,93.36,187,0.0213,0,5.0
1012,2024-01-03,PROD006,Hub USB 4 portas 3.0,Conectividade,4,78.75,0.14,315.0,79,0.0502,1,1.3
1013,2024-01-03,PROD007,Fone In-Ear Com Fio Samsung AKG,Audio,5,63.66,0.14,318.3,120,0.0416,0,4.1
1014,2024-01-03,PROD008,Cabo Lightning para USB 1m (Apple),Cabos,3,38.16,0.14,114.48,80,0.0371,0,3.9
